"translation_key","source_type","route","owner","status"
"flagship.f_lab","dictionary","Flagship","i18n","localized"
"flagship.f_mentor_acts","dictionary","Flagship","i18n","localized"
"flagship.f_portfolio","dictionary","Flagship","i18n","localized"
"flagship.f_interview","dictionary","Flagship","i18n","localized"
"flagship.f_behavioral","dictionary","Flagship","i18n","localized"
"flagship.f_scenario","dictionary","Flagship","i18n","localized"
"flagship.f_leadership","dictionary","Flagship","i18n","localized"
"flagship.sims3","dictionary","Flagship","i18n","localized"
"flagship.launch_sims","dictionary","Flagship","i18n","localized"
"flagship.stat_modules","dictionary","Flagship","i18n","localized"
"flagship.stat_labs","dictionary","Flagship","i18n","localized"
"flagship.stat_portfolios","dictionary","Flagship","i18n","localized"
"flagship.stat_assessments","dictionary","Flagship","i18n","localized"
"flagship.stat_qbank","dictionary","Flagship","i18n","localized"
"flagship.badge","dictionary","Flagship","i18n","localized"
"flagship.hero_desc","dictionary","Flagship","i18n","localized"
"flagship.tracks_h","dictionary","Flagship","i18n","localized"
"flagship.curriculum_h","dictionary","Flagship","i18n","localized"
"flagship.portfolio_path","dictionary","Flagship","i18n","localized"
"nav.portal","dictionary","Other","i18n","localized"
"nav.tab_learn","dictionary","Courses","i18n","localized"
"mobile.learn.loading","dictionary","Courses","i18n","localized"
"mobile.learn.empty_h","dictionary","Courses","i18n","localized"
"mobile.learn.empty_sub","dictionary","Courses","i18n","localized"
"mobile.learn.continue","dictionary","Courses","i18n","localized"
"mobile.learn.continue_btn","dictionary","Courses","i18n","localized"
"mobile.learn.your_programs","dictionary","Courses","i18n","localized"
"mobile.course.default_title","dictionary","Program Details","i18n","localized"
"mobile.course.progress","dictionary","Program Details","i18n","localized"
"mobile.course.modules_done","dictionary","Program Details","i18n","localized"
"mobile.course.continue_btn","dictionary","Program Details","i18n","localized"
"mobile.course.start_btn","dictionary","Program Details","i18n","localized"
"mobile.course.modules_label","dictionary","Program Details","i18n","localized"
"mobile.course.module_label","dictionary","Program Details","i18n","localized"
"mobile.course.completed","dictionary","Program Details","i18n","localized"
"mobile.course.continue","dictionary","Program Details","i18n","localized"
"mobile.course.lessons","dictionary","Program Details","i18n","localized"
"mobile.course.locked","dictionary","Program Details","i18n","localized"
"mobile.course.empty","dictionary","Program Details","i18n","localized"
"kg.title","dictionary","Dashboard","i18n","localized"
"cpanel.career_title","dictionary","Other","i18n","localized"
"cpanel.career_sub","dictionary","Other","i18n","localized"
"cpanel.strong_fit","dictionary","Other","i18n","localized"
"cpanel.good_fit","dictionary","Other","i18n","localized"
"cpanel.skill_title","dictionary","Other","i18n","localized"
"cpanel.skill_sub","dictionary","Other","i18n","localized"
"cpanel.in_progress","dictionary","Other","i18n","localized"
"cpanel.not_started","dictionary","Other","i18n","localized"
"cpanel.interview_title","dictionary","Other","i18n","localized"
"cpanel.interview_sub","dictionary","Other","i18n","localized"
"cpanel.launch_btn","dictionary","Other","i18n","localized"
"cpanel.resume_title","dictionary","Other","i18n","localized"
"cpanel.resume_sub","dictionary","Other","i18n","localized"
"cpanel.resume_preview","dictionary","Other","i18n","localized"
"cpanel.pdf_btn","dictionary","Other","i18n","localized"
"cpanel.linkedin_btn","dictionary","Other","i18n","localized"
"cpanel.salary_title","dictionary","Other","i18n","localized"
"lesson.video","dictionary","Program Details","i18n","localized"
"lesson.back","dictionary","Program Details","i18n","localized"
"lesson.lesson_n","dictionary","Program Details","i18n","localized"
"lesson.reading","dictionary","Program Details","i18n","localized"
"lesson.speaking","dictionary","Program Details","i18n","localized"
"lesson.listening","dictionary","Program Details","i18n","localized"
"lesson.connecting","dictionary","Program Details","i18n","localized"
"lesson.mentor_tap","dictionary","Program Details","i18n","localized"
"lesson.ask_prof","dictionary","Program Details","i18n","localized"
"lesson.end_session","dictionary","Program Details","i18n","localized"
"lesson.module_quiz","dictionary","Program Details","i18n","localized"
"lesson.pass_unlock","dictionary","Program Details","i18n","localized"
"lesson.continue_quiz","dictionary","Program Details","i18n","localized"
"lesson.continue","dictionary","Program Details","i18n","localized"
"hero.stats.students","dictionary","Homepage","i18n","localized"
"hero.stats.rate","dictionary","Homepage","i18n","localized"
"hero.stats.partners","dictionary","Homepage","i18n","localized"
"hero.badge","dictionary","Homepage","i18n","localized"
"hero.title.line1","dictionary","Homepage","i18n","localized"
"hero.title.line2","dictionary","Homepage","i18n","localized"
"hero.subtitle","dictionary","Homepage","i18n","localized"
"hero.cta.primary","dictionary","Homepage","i18n","localized"
"ts.label","dictionary","Talent Score","i18n","localized"
"ts.title","dictionary","Talent Score","i18n","localized"
"ts.sub","dictionary","Talent Score","i18n","localized"
"ts.overall","dictionary","Talent Score","i18n","localized"
"ts.empty","dictionary","Talent Score","i18n","localized"
"ts.breakdown","dictionary","Talent Score","i18n","localized"
"ts.improve","dictionary","Talent Score","i18n","localized"
"ts.start_btn","dictionary","Talent Score","i18n","localized"
"sim.badge","dictionary","Simulations","i18n","localized"
"sim.h1a","dictionary","Simulations","i18n","localized"
"sim.h1b","dictionary","Simulations","i18n","localized"
"sim.sub","dictionary","Simulations","i18n","localized"
"sim.all_schools","dictionary","Simulations","i18n","localized"
"sim.search","dictionary","Simulations","i18n","localized"
"sim.all_programs","dictionary","Simulations","i18n","localized"
"sim.all_modules","dictionary","Simulations","i18n","localized"
"sim.module","dictionary","Simulations","i18n","localized"
"sim.all_levels","dictionary","Simulations","i18n","localized"
"sim.all_types","dictionary","Simulations","i18n","localized"
"sim.type_","dictionary","Simulations","i18n","localized"
"sim.count_label","dictionary","Simulations","i18n","localized"
"sim.no_results","dictionary","Simulations","i18n","localized"
"sim.no_results_sub","dictionary","Simulations","i18n","localized"
"sim.showing_pre","dictionary","Simulations","i18n","localized"
"sim.showing_post","dictionary","Simulations","i18n","localized"
"sim.prog_sims","dictionary","Simulations","i18n","localized"
"sim.done","dictionary","Simulations","i18n","localized"
"sim.diff_","dictionary","Simulations","i18n","localized"
"sim.mod","dictionary","Simulations","i18n","localized"
"sim.retry","dictionary","Simulations","i18n","localized"
"sim.launch","dictionary","Simulations","i18n","localized"
"kit.badge","dictionary","Other","i18n","localized"
"kit.hero.title","dictionary","Other","i18n","localized"
"kit.hero.subtitle","dictionary","Other","i18n","localized"
"kit.fomo.title","dictionary","Other","i18n","localized"
"kit.fomo.subtitle","dictionary","Other","i18n","localized"
"kit.social.title","dictionary","Other","i18n","localized"
"kit.social.subtitle","dictionary","Other","i18n","localized"
"kit.copied","dictionary","Other","i18n","localized"
"kit.copy","dictionary","Other","i18n","localized"
"kit.email.title","dictionary","Other","i18n","localized"
"kit.email.subtitle","dictionary","Other","i18n","localized"
"kit.email.subject","dictionary","Other","i18n","localized"
"kit.talking.title","dictionary","Other","i18n","localized"
"kit.talking.subtitle","dictionary","Other","i18n","localized"
"kit.backToReferral","dictionary","Other","i18n","localized"
"employers.badge","dictionary","Other","i18n","localized"
"employers.h1a","dictionary","Other","i18n","localized"
"employers.h1b","dictionary","Other","i18n","localized"
"employers.sub","dictionary","Other","i18n","localized"
"employers.partner_btn","dictionary","Other","i18n","localized"
"employers.browse_btn","dictionary","Other","i18n","localized"
"employers.why_label","dictionary","Other","i18n","localized"
"employers.why_h2a","dictionary","Other","i18n","localized"
"employers.why_h2_hl","dictionary","Other","i18n","localized"
"employers.why_h2b","dictionary","Other","i18n","localized"
"employers.cta_h2a","dictionary","Other","i18n","localized"
"employers.cta_h2b","dictionary","Other","i18n","localized"
"employers.cta_sub","dictionary","Other","i18n","localized"
"employers.cta_btn","dictionary","Other","i18n","localized"
"schools.eng_out0","dictionary","Other","i18n","localized"
"schools.eng_out1","dictionary","Other","i18n","localized"
"schools.eng_out2","dictionary","Other","i18n","localized"
"schools.biz_out0","dictionary","Other","i18n","localized"
"schools.biz_out1","dictionary","Other","i18n","localized"
"schools.biz_out2","dictionary","Other","i18n","localized"
"schools.gov_out0","dictionary","Other","i18n","localized"
"schools.gov_out1","dictionary","Other","i18n","localized"
"schools.gov_out2","dictionary","Other","i18n","localized"
"schools.hax_out0","dictionary","Other","i18n","localized"
"schools.hax_out1","dictionary","Other","i18n","localized"
"schools.hax_out2","dictionary","Other","i18n","localized"
"schools.badge","dictionary","Other","i18n","localized"
"schools.h1a","dictionary","Other","i18n","localized"
